"dzim","vcgr","Svars","c3_izglit","c4_Vec_izglit","c5_1_Pers_kopa","c5_2_Pers_virs15","c6_majs_veids","c7_Ekon_akt","C8_Nodarb_statuss","c9_prof_kods_1st_dig","c10_talrunis","c11_rekinu_apmaksa","c12_dzivo_pilseta","c13_prior_tranps","d1_1","d1_2","d1_3","d1_4","d1_5","d1_6","d1_7","d1_8","d1_9","d1_10","d1_11","d1_12","d2_1","d2_2","d2_3","d2_4","d2_5","d2_6","d2_7","d2_8","d2_9","d2_10","d2_11","d2_12","d3_1","d3_2","d3_3","d3_4","d4","pilseta"
"2","2",16.27,"1",40.00,4.00,3.00,"3","1","1","1","1","3","2","1, 6","3","3","2","1","2","3","2","2","2","4","4","4","3","4","4","9","2","4","2","2","4","3","3","4","3","2","2","2","2, 6, 8","REZ"
"2","1",10.52,"6",10.00,3.00,3.00,"3","4",,,"1","3","1","1, 6","9","4","2","1","2","2","2","2","2","2","2","3","1","3","9","9","2","3","3","2","9","9","3","9",,"2","2","1","1, 5, 8","REZ"
"1","2",49.13,"1",40.00,4.00,4.00,"4","1","1",,"3","3","2","8","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","99","JEL"
"2","2",18.79,"1",50.00,2.00,2.00,"2","1","2","1","1","2","1","1, 6","9","3","9","9","4","4","4","3","9","4","3","3","4","4","3","9","4","4","3","3","3","9","2","4","2","3","3","2","5, 8, 9","REZ"
"1","2",91.89,"1",20.00,2.00,2.00,"2","1","2","3","1","3","3","1, 6","9","1","1","2","2","1","1","1","9","1","1","2","1","2","9","9","3","9","1","1","9","2","2","2","1","2","2","1","9","VAL"
"1","2",135.39,"3",20.00,3.00,3.00,"4","1","1","7","1","3","2","1, 6","2","3","2","2","3","3","3","2","2","2","3","2","2","4","2","3","4","3","2","2","3","2","2","2","2","2","2","2","3, 5, 8","LIE"
"2","2",81.74,"1",20.00,2.00,2.00,"2","1","1","3","1","3","2","1, 6","9","2","1","1","2","2","2","1","1","2","2","1","1","2","2","2","4","2","1","1","1","2","2","2","2","2","2","2","5, 9, 10","VAL"
"1","2",20.99,"5",10.00,4.00,3.00,"3","1","1","8","1, 2","2","1","1, 6","2","4","4","2","3","2","2","2","2","2","4","2","1","4","9","9","3","4","3","3","9","2","2","3","2","4","2","1","5, 8, 10","JEK"
"2","2",8.54,"2",40.00,1.00,1.00,"1","1","1","2","1","3","2","1, 4","2","3","2","2","1","1","1","1","1","3","3","1","2","4","9","9","2","2","2","1","1","2","2","2","1","1","2","1","2, 3, 5","VEN"
"1","2",47.07,"4",20.00,2.00,2.00,"3","2",,,"1","2","2","1, 4","2","4","2","2","4","3","3","2","9","2","3","3","4","4","3","9","3","3","2","2","4","3","2","4","9","3","3","3","1, 5, 8","DAU"
